19,0,65
9,1,150
40,54,138
33,18,129
20,27,129
23,78,126
8,66,132
46,144,231
47,174,309
50,210,348
46,231,387
48,219,234
45,228,372
58,267,312
59,255,333
47,309,357
82,333,405
72,282,405
78,273,342
81,369,405
85,369,468
86,375,483
83,363,522
84,363,474
106,543,669
99,540,588
100,540,588
107,597,675
110,621,714
111,615,678
124,729,792
87,666,684
88,696,720
125,774,873
126,789,825
127,789,825
107,810,888
147,945,1047
153,972,1131
157,993,1098
156,987,1077
170,1071,1122
180,1101,1230
171,1074,1251
190,1137,1221
188,1149,1308
191,1167,1272
170,1143,1299
189,1131,1209
203,1200,1287
134,1173,1374
219,1266,1371
220,1263,1359
204,1197,1341
228,1293,1389
227,1293,1419
232,1281,1389
229,1314,1437
244,1389,1458
237,1359,1491
230,1323,1452
231,1329,1413
49,1350,1449
262,1419,1488
263,1446,1566
250,1413,1506
253,1413,1479
257,1425,1551
264,1419,1797
292,1437,1542
285,1527,1794
171,1521,1794
159,1521,1839
274,1485,1581
307,1557,1656
273,1476,1662
176,1485,1542
324,1572,1665
318,1572,1689
300,1602,1734
286,1530,1656
307,1557,1656
287,1521,1647
362,1680,1770
381,1740,1872
351,1662,1824
170,1698,1869
362,1677,1767
284,1527,1686
283,1524,1722
288,1521,1584
296,1572,1701
413,1845,1941
388,1722,1914
328,1584,1701
416,1863,1944
447,1917,1959
176,1989,1800
458,1956,2115
426,1842,2073
450,1917,2007
453,1920,2034
473,2025,2094
485,2007,2097
466,1989,2082
370,1710,1815
402,1815,1899
301,1674,1683
387,1728,1827
376,1791,1893
347,1668,1725
348,1668,1725
375,1713,1851
373,1728,1893
382,1746,1824
267,1764,1908
485,2007,2094
458,1959,2115
474,2136,2226
518,2190,2334
578,2202,2295
558,2175,2307
624,2151,2238
443,1899,2037
501,2079,2199
527,2145,2274
533,2145,2247
545,2247,2394
355,2247,2397
546,2139,2214
514,2163,2295
517,2163,2295
603,2331,2394
8,261,354
8,435,489
8,660,738
